id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,757,0,0
2,0,91,,,,0,0
3,1.875,1,2,4,2,0,25
4,1.933594,1,2,5,2,0,25
5,2.109375,1,5,4,0,0,0
6,2.226563,1,4,2,1,0,24
7,2.285156,1,4,1,1,0,24
8,2.460938,1,4,4,0,0,0
9,2.578125,1,3,3,0,0,0
10,2.695313,1,4,4,0,0,0
11,2.8125,2,3,2,0,0,0
12,2.929688,2,3,2,0,0,0
13,3.046875,2,2,4,0,0,0
14,3.164063,2,2,4,0,0,0
15,3.28125,2,3,5,0,0,0
16,3.515625,2,3,5,0,1,0
17,3.515625,2,1,2,0,1,0
18,3.75,2,1,2,0,1,0
19,3.75,1,2,4,2,1,26
20,3.808594,1,2,5,2,0,26
21,3.984375,1,5,4,0,0,0
22,4.101563,1,4,2,1,0,27
23,4.160156,1,4,1,1,0,27
24,4.335938,1,3,2,0,0,0
25,4.453125,1,3,3,0,0,0
26,4.570313,1,3,2,0,0,0
27,4.6875,1,2,4,2,0,66
28,4.746094,1,2,5,2,0,66
29,4.921875,1,5,4,0,0,0
30,5.039063,1,4,2,1,0,67
31,5.097656,1,4,1,1,0,67
32,5.15625,2,4,3,0,0,0
33,5.390625,2,4,3,0,1,0
34,5.390625,2,2,1,0,1,0
35,5.625,2,2,1,0,1,0
36,5.625,1,2,4,2,1,28
37,5.683594,1,2,5,2,0,28
38,5.859375,1,5,4,0,0,0
39,5.976563,1,4,2,1,0,29
40,6.035156,1,4,1,1,0,29
41,6.210938,1,4,4,0,0,0
42,6.328125,1,3,3,0,0,0
43,6.445313,1,4,4,0,0,0
44,6.5625,2,3,2,0,0,0
45,6.679688,2,3,2,0,0,0
46,6.796875,2,2,4,0,0,0
47,6.914063,2,2,4,0,0,0
48,7.03125,2,3,5,0,0,0
49,7.265625,2,3,5,0,1,0
50,7.265625,2,1,2,0,1,0
51,7.5,2,1,2,0,1,0
52,7.5,1,2,4,2,1,30
